PLACEID	PPIDR4	POLLPROB	POLLAFFCT	POLL3YRS
1	1	0	 	 
1	2	0	 	 
1	3	0	 	 
1	4	0	 	 
1	5	0	 	 
1	6	0	 	 
1	7	1	2	3
1	8	0	 	 
1	9	1	2	3
1	10	0	 	 
1	11	0	 	 
1	12	1	2	3
1	13	0	 	 
1	14	0	 	 
2	1	1	1	3
2	2	0	 	 
2	3	0	 	 
2	4	0	 	 
2	5	0	 	 
2	6	0	 	 
2	7	1	2	2
2	8	0	 	 
2	9	1	1	3
2	10	1	1	1
2	11	1	2	3
2	12	1	1	2
2	13	1	2	3
2	14	0	 	 
3	1	0	 	 
3	2	1	2	2
3	3	1	2	3
3	4	1	1	2
3	5	0	 	 
3	6	0	 	 
3	7	1	1	2
3	8	0	 	 
3	9	0	 	 
3	10	1	2	2
3	11	1	1	1
3	12	0	 	 
3	13	1	1	1
3	14	0	 	 
4	1	0	 	 
4	2	0	 	 
4	3	0	 	 
4	4	1	2	3
4	5	0	 	 
4	6	0	 	 
4	7	0	 	 
4	8	0	 	 
4	9	0	 	 
4	10	0	 	 
4	11	1	2	3
4	12	0	 	 
4	13	1	2	2
4	14	0	 	 
5	1	0	 	 
5	2	0	 	 
5	3	0	 	 
5	4	1	2	2
5	5	0	 	 
5	6	0	 	 
5	7	0	 	 
5	8	0	 	 
5	9	0	 	 
5	10	0	 	 
5	11	0	 	 
5	12	0	 	 
5	13	0	 	 
5	14	0	 	 
6	1	1	1	2
6	2	0	 	 
6	3	0	 	 
6	4	1	2	3
6	5	0	 	 
6	6	0	 	 
6	7	0	 	 
6	8	1	2	3
6	9	1	1	1
6	10	1	2	3
6	11	1	1	2
6	12	0	 	 
6	13	1	2	3
6	14	0	 	 
7	1	0	 	 
7	2	0	 	 
7	3	0	 	 
7	4	1	1	2
7	5	1	2	2
7	6	0	 	 
7	7	0	 	 
7	8	0	 	 
7	9	0	 	 
7	10	0	 	 
7	11	0	 	 
7	12	0	 	 
7	13	0	 	 
7	14	0	 	 
8	1	0	 	 
8	2	0	 	 
8	3	0	 	 
8	4	1	1	2
8	5	1	2	2
8	6	0	 	 
8	7	0	 	 
8	8	0	 	 
8	9	0	 	 
8	10	0	 	 
8	11	0	 	 
8	12	0	 	 
8	13	0	 	 
8	14	0	 	 
9	1	0	 	 
9	2	0	 	 
9	3	0	 	 
9	4	1	1	2
9	5	1	2	2
9	6	0	 	 
9	7	0	 	 
9	8	0	 	 
9	9	0	 	 
9	10	0	 	 
9	11	1	2	3
9	12	0	 	 
9	13	1	2	2
9	14	0	 	 
10	1	0	 	 
10	2	0	 	 
10	3	0	 	 
10	4	1	1	2
10	5	1	2	2
10	6	0	 	 
10	7	0	 	 
10	8	0	 	 
10	9	0	 	 
10	10	0	 	 
10	11	0	 	 
10	12	0	 	 
10	13	0	 	 
10	14	0	 	 
11	1	0	 	 
11	2	0	 	 
11	3	0	 	 
11	4	1	1	2
11	5	1	2	2
11	6	0	 	 
11	7	0	 	 
11	8	1	2	3
11	9	0	 	 
11	10	1	1	2
11	11	0	 	 
11	12	0	 	 
11	13	1	1	2
11	14	0	 	 
12	1	0	 	 
12	2	0	 	 
12	3	0	 	 
12	4	0	 	 
12	5	0	 	 
12	6	0	 	 
12	7	0	 	 
12	8	0	 	 
12	9	0	 	 
12	10	0	 	 
12	11	0	 	 
12	12	0	 	 
12	13	0	 	 
12	14	0	 	 
13	1	0	 	 
13	2	0	 	 
13	3	0	 	 
13	4	0	 	 
13	5	0	 	 
13	6	0	 	 
13	7	1	2	2
13	8	0	 	 
13	9	0	 	 
13	10	0	 	 
13	11	1	2	2
13	12	0	 	 
13	13	1	1	2
13	14	1	1	1
14	1	0	 	 
14	2	1	1	1
14	3	0	 	 
14	4	0	 	 
14	5	0	 	 
14	6	0	 	 
14	7	1	1	1
14	8	0	 	 
14	9	0	 	 
14	10	0	 	 
14	11	0	 	 
14	12	0	 	 
14	13	1	2	3
14	14	0	 	 
15	1	0	 	 
15	2	0	 	 
15	3	0	 	 
15	4	0	 	 
15	5	0	 	 
15	6	0	 	 
15	7	0	 	 
15	8	0	 	 
15	9	0	 	 
15	10	0	 	 
15	11	0	 	 
15	12	0	 	 
15	13	0	 	 
15	14	0	 	 
16	1	1	2	1
16	2	0	 	 
16	3	0	 	 
16	4	1	2	2
16	5	1	2	2
16	6	0	 	 
16	7	0	 	 
16	8	0	 	 
16	9	1	1	2
16	10	1	1	1
16	11	1	2	2
16	12	1	1	2
16	13	1	2	2
16	14	0	 	 
17	1	0	 	 
17	2	0	 	 
17	3	0	 	 
17	4	1	2	2
17	5	0	 	 
17	6	0	 	 
17	7	1	2	2
17	8	0	 	 
17	9	0	 	 
17	10	0	 	 
17	11	1	2	2
17	12	0	 	 
17	13	1	2	2
17	14	0	 	 
18	1	0	 	 
18	2	0	 	 
18	3	0	 	 
18	4	0	 	 
18	5	1	2	2
18	6	0	 	 
18	7	0	 	 
18	8	0	 	 
18	9	0	 	 
18	10	0	 	 
18	11	1	2	1
18	12	0	 	 
18	13	0	 	 
18	14	0	 	 
19	1	0	 	 
19	2	0	 	 
19	3	0	 	 
19	4	0	 	 
19	5	1	2	3
19	6	0	 	 
19	7	1	1	1
19	8	0	 	 
19	9	0	 	 
19	10	0	 	 
19	11	1	1	3
19	12	0	 	 
19	13	1	1	1
19	14	0	 	 
20	1	0	 	 
20	2	0	 	 
20	3	0	 	 
20	4	0	 	 
20	5	1	2	2
20	6	0	 	 
20	7	1	2	2
20	8	1	2	4
20	9	0	 	 
20	10	0	 	 
20	11	0	 	 
20	12	0	 	 
20	13	0	 	 
20	14	0	 	 
21	1	0	 	 
21	2	1	2	3
21	3	0	 	 
21	4	1	2	2
21	5	1	2	3
21	6	0	 	 
21	7	0	 	 
21	8	1	2	3
21	9	0	 	 
21	10	0	 	 
21	11	1	1	2
21	12	0	 	 
21	13	1	1	1
21	14	0	 	 
22	1	0	 	 
22	2	0	 	 
22	3	0	 	 
22	4	0	 	 
22	5	1	2	4
22	6	0	 	 
22	7	0	 	 
22	8	1	2	1
22	9	0	 	 
22	10	1	2	4
22	11	1	2	4
22	12	1	2	3
22	13	1	2	2
22	14	0	 	 
23	1	0	 	 
23	2	1	1	1
23	3	0	 	 
23	4	1	1	1
23	5	0	 	 
23	6	0	 	 
23	7	1	2	2
23	8	0	 	 
23	9	0	 	 
23	10	1	1	1
23	11	0	 	 
23	12	1	1	1
23	13	1	1	1
23	14	0	 	 
24	1	0	 	 
24	2	0	 	 
24	3	0	 	 
24	4	0	 	 
24	5	0	 	 
24	6	0	 	 
24	7	0	 	 
24	8	0	 	 
24	9	0	 	 
24	10	0	 	 
24	11	0	 	 
24	12	0	 	 
24	13	1	2	3
24	14	0	 	 
25	1	0	 	 
25	2	0	 	 
25	3	0	 	 
25	4	1	2	3
25	5	1	2	2
25	6	0	 	 
25	7	0	 	 
25	8	1	2	3
25	9	0	 	 
25	10	1	1	1
25	11	0	 	 
25	12	1	1	1
25	13	1	1	1
25	14	0	 	 
26	1	0	 	 
26	2	0	 	 
26	3	0	 	 
26	4	0	 	 
26	5	0	 	 
26	6	0	 	 
26	7	0	 	 
26	8	0	 	 
26	9	0	 	 
26	10	0	 	 
26	11	0	 	 
26	12	0	 	 
26	13	0	 	 
26	14	0	 	 
27	1	0	 	 
27	2	0	 	 
27	3	0	 	 
27	4	1	2	4
27	5	0	 	 
27	6	0	 	 
27	7	0	 	 
27	8	0	 	 
27	9	0	 	 
27	10	0	 	 
27	11	0	 	 
27	12	0	 	 
27	13	0	 	 
27	14	0	 	 
28	1	0	 	 
28	2	0	 	 
28	3	0	 	 
28	4	1	2	2
28	5	1	2	2
28	6	0	 	 
28	7	0	 	 
28	8	0	 	 
28	9	0	 	 
28	10	0	 	 
28	11	0	 	 
28	12	0	 	 
28	13	0	 	 
28	14	0	 	 
29	1	0	 	 
29	2	0	 	 
29	3	0	 	 
29	4	1	2	2
29	5	1	2	2
29	6	0	 	 
29	7	0	 	 
29	8	0	 	 
29	9	0	 	 
29	10	0	 	 
29	11	1	2	2
29	12	0	 	 
29	13	0	 	 
29	14	0	 	 
30	1	0	 	 
30	2	0	 	 
30	3	0	 	 
30	4	1	2	2
30	5	1	2	2
30	6	0	 	 
30	7	0	 	 
30	8	0	 	 
30	9	0	 	 
30	10	0	 	 
30	11	0	 	 
30	12	0	 	 
30	13	0	 	 
30	14	0	 	 
31	1	0	 	 
31	2	0	 	 
31	3	0	 	 
31	4	1	2	2
31	5	1	2	2
31	6	0	 	 
31	7	0	 	 
31	8	0	 	 
31	9	0	 	 
31	10	0	 	 
31	11	0	 	 
31	12	0	 	 
31	13	0	 	 
31	14	0	 	 
32	1	0	 	 
32	2	0	 	 
32	3	0	 	 
32	4	1	2	3
32	5	0	 	 
32	6	0	 	 
32	7	0	 	 
32	8	0	 	 
32	9	0	 	 
32	10	0	 	 
32	11	0	 	 
32	12	0	 	 
32	13	0	 	 
32	14	0	 	 
33	1	0	 	 
33	2	1	1	2
33	3	0	 	 
33	4	1	1	2
33	5	1	1	2
33	6	0	 	 
33	7	0	 	 
33	8	1	2	2
33	9	0	 	 
33	10	1	1	2
33	11	0	 	 
33	12	1	1	2
33	13	1	1	2
33	14	0	 	 
34	1	0	 	 
34	2	0	 	 
34	3	0	 	 
34	4	1	2	2
34	5	1	2	2
34	6	0	 	 
34	7	0	 	 
34	8	0	 	 
34	9	0	 	 
34	10	1	1	2
34	11	0	 	 
34	12	1	1	2
34	13	1	2	3
34	14	0	 	 
35	1	0	 	 
35	2	0	 	 
35	3	0	 	 
35	4	0	 	 
35	5	0	 	 
35	6	0	 	 
35	7	0	 	 
35	8	0	 	 
35	9	0	 	 
35	10	0	 	 
35	11	0	 	 
35	12	0	 	 
35	13	1	1	1
35	14	0	 	 
36	1	0	 	 
36	2	0	 	 
36	3	0	 	 
36	4	0	 	 
36	5	0	 	 
36	6	0	 	 
36	7	0	 	 
36	8	0	 	 
36	9	0	 	 
36	10	0	 	 
36	11	0	 	 
36	12	0	 	 
36	13	0	 	 
36	14	0	 	 
37	1	0	 	 
37	2	0	 	 
37	3	0	 	 
37	4	0	 	 
37	5	0	 	 
37	6	0	 	 
37	7	0	 	 
37	8	0	 	 
37	9	0	 	 
37	10	0	 	 
37	11	0	 	 
37	12	0	 	 
37	13	1	1	1
37	14	0	 	 
38	1	0	 	 
38	2	0	 	 
38	3	0	 	 
38	4	0	 	 
38	5	0	 	 
38	6	0	 	 
38	7	0	 	 
38	8	0	 	 
38	9	0	 	 
38	10	0	 	 
