FORMNO	CHILDID	CDINT	EVERSCH	ENRSCH	SINGLSEX	SCTYPE	GRADNOW	TMSCHMIN	TRANSSCH	DANGSCH	SCHRISK1	SCHRISK2	SCHRISK3	MISSCH	WMISSC1	WMISSC2	WMISSC3	SEAMIS01	SEAMIS02	SEAMIS03	BESTSCH1	BESTSCH2	BESTSCH3	WORSTSC1	WORSTSC2	WORSTSC3	VNEXCLSS	VNYEXCL1	VNYEXCL2	VNYEXCL3	AMEXSC01	AMEXSC02	AMEXSC03	AMEXSC04	AMEXSC05	AMEXSC06	AMEXSC07	AMEXSC08	TEXCLS01	TEXCLS02	TEXCLS03	TEXCLS04	TEXCLS05	TEXCLS06	TEXCLS07	TEXCLS08	VNYATEX1	VNYATEX2	VNYATEX3	VNENJEXC	VNYNOENJ	VNEXCUSE	GRADCOMP	AGESTOP	XSINGLSX	XSCTYPE	XTMSCHMN	XTRNSSCH	XDANGSCH	XSCHRISK	SCHWHY1	SCHWHY2	SCHWHY3	CSLEEP	CCHCARE	CHHCHORE	CNPAYWRK	CPAYWORK	CSCHOOL	CSTUDY	CPLAY	CHLDWORK	PAYLIKE1	PAYLIKE2	PAYLIKE3	PYNOLIK1	PYNOLIK2	PYNOLIK3	SCHWRK	SCHMISS	WRKINJ	WRKINJ1	WRKINJ2	WRKINJ3	PPVTLOW	PPVTHIGH	STRTHRPP	STRTMNPP	PPVT001	PPVT002	PPVT003	PPVT004	PPVT005	PPVT006	PPVT007	PPVT008	PPVT009	PPVT010	PPVT011	PPVT012	SET01ERR	PPVT013	PPVT014	PPVT015	PPVT016	PPVT017	PPVT018	PPVT019	PPVT020	PPVT021	PPVT022	PPVT023	PPVT024	SET02ERR	PPVT025	PPVT026	PPVT027	PPVT028	PPVT029	PPVT030	PPVT031	PPVT032	PPVT033	PPVT034	PPVT035	PPVT036	SET03ERR	PPVT037	PPVT038	PPVT039	PPVT040	PPVT041	PPVT042	PPVT043	PPVT044	PPVT045	PPVT046	PPVT047	PPVT048	SET04ERR	PPVT049	PPVT050	PPVT051	PPVT052	PPVT053	PPVT054	PPVT055	PPVT056	PPVT057	PPVT058	PPVT059	PPVT060	SET05ERR	PPVT061	PPVT062	PPVT063	PPVT064	PPVT065	PPVT066	PPVT067	PPVT068	PPVT069	PPVT070	PPVT071	PPVT072	SET06ERR	PPVT073	PPVT074	PPVT075	PPVT076	PPVT077	PPVT078	PPVT079	PPVT080	PPVT081	PPVT082	PPVT083	PPVT084	SET07ERR	PPVT085	PPVT086	PPVT087	PPVT088	PPVT089	PPVT090	PPVT091	PPVT092	PPVT093	PPVT094	PPVT095	PPVT096	SET08ERR	PPVT097	PPVT098	PPVT099	PPVT100	PPVT101	PPVT102	PPVT103	PPVT104	PPVT105	PPVT106	PPVT107	PPVT108	SET09ERR	PPVT109	PPVT110	PPVT111	PPVT112	PPVT113	PPVT114	PPVT115	PPVT116	PPVT117	PPVT118	PPVT119	PPVT120	SET10ERR	PPVT121	PPVT122	PPVT123	PPVT124	PPVT125	PPVT126	PPVT127	PPVT128	PPVT129	PPVT130	PPVT131	PPVT132	SET11ERR	PPVT133	PPVT134	PPVT135	PPVT136	PPVT137	PPVT138	PPVT139	PPVT140	PPVT141	PPVT142	PPVT143	PPVT144	SET12ERR	PPVT145	PPVT146	PPVT147	PPVT148	PPVT149	PPVT150	PPVT151	PPVT152	PPVT153	PPVT154	PPVT155	PPVT156	SET13ERR	PPVT157	PPVT158	PPVT159	PPVT160	PPVT161	PPVT162	PPVT163	PPVT164	PPVT165	PPVT166	PPVT167	PPVT168	SET14ERR	PPVT169	PPVT170	PPVT171	PPVT172	PPVT173	PPVT174	PPVT175	PPVT176	PPVT177	PPVT178	PPVT179	PPVT180	SET15ERR	PPVT181	PPVT182	PPVT183	PPVT184	PPVT185	PPVT186	PPVT187	PPVT188	PPVT189	PPVT190	PPVT191	PPVT192	SET16ERR	PPVT193	PPVT194	PPVT195	PPVT196	PPVT197	PPVT198	PPVT199	PPVT200	PPVT201	PPVT202	PPVT203	PPVT204	SET17ERR	FINHRPP	FINMNPP	CEILING	MINERR	language1	language2	source	score_ppvt	rscorelang_ppvt	CONDPP	YNOADQ01	YNOADQ02	PPFWLANG	PPCDLANG	STRTHRWM	STRTMRWM	LEVLREAD	LEVLWRIT	MATH01	MATH02	MATH03	MATH04	MATH05	MATH06	MATH07	MATH08	MATH09	MATH10	score_math	rscorelang_math	FINHRRWM	FINMNRWM	CONDRWAQ	YNORWM01	YNORWM02	CHEALTHY	CFODFRQ1	CFODFRQ2	CFODFRQ3	CFODFRQ4	CFODFRQ5	CFODFRQ6	CFODFRQ7	CFOODTOT	CFDDIV01	CFDDIV02	CFDDIV03	CFDDIV04	CFDDIV05	CFDDIV06	CFDDIV07	CFDDIV08	CFDDIV09	CFDDIV10	CFDDIV11	CFDIVTOT	MENARCHE	VOICE	HAIRCHIN	CANYHELP	WHOHELP	CHELP01	CHELP02	CHELP03	CHELP04	CHELP05	CHELP06	FRIEND	LEAD	INCGAME	HARDTALK	HELPCHLD	UNDERFIF	WORKWITH	WOTALK	WOHELP	PAYTALK	GRPMEM01	GRPMEM02	GRPMEM03	GRPMEM04	GRPMEM05	GRPMEM06	GRPMEM08	GRPATT01	GRPATT02	GRPATT03	GRPATT04	GRPATT05	GRPATT06	GRPATT08	CFAMSON	CLADDER	CFARLAD	CHLPMV1	CHLPMV2	CHLPMV3	CHLPDWN1	CHLPDWN2	CHLPDWN3	CFAMDTR	CSCUSEFL	CNSCUSE	CHFUTURE	CGRDLIKE	CEXPGRAD	CYDRPOT1	CYDRPOT2	CYDRPOT3	TR1	TR2	TR3	SV1	SV2	TR4	SV5	SV6	AG1	AG2	AG3	PS1	PS2	PS7	PS3	SD1	SD2	WHYBAD1	WHYBAD2	WHYBAD3	PS4	PS8	SD3	AG4	SD4	PS5	SD5	TEABAD1	TEABAD2	TEABAD3	PS6	AG5	PS9	OBEY	NOTALK	LOVED	NOSUPP	SPEAK	FAIRPUN	SISLESS	TIMATT	BROLESS	BROFREE	SISFREE	PARWOR	DECISION	PARDEC	WHATDEC	MINDS	AMBITION	CCIRCUM1	CCIRCUM2	CREAS1	CREAS2	CRELCIRC
R28YRS	VN011011	12/25/2006	1	1	0	3	6	20	2	1	1	88	88	0	88	88	88	88	88	88	10	1	88	11	16	88	1	88	88	88	9	0	0	0	0	0	4	0	3	99	99	99	99	99	1	99	2	88	88	1	88	1	88	88	88	88	-88	88	88	88	88	88	88	7	0	2	0	0	4	6	5	0	88	88	88	88	88	88	1	0	0	88	88	88	73	132	16	45	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	3	1	1	3	2	1	2	4	3	4	0	1	4	1	4	3	1	1	2	1	3	3	1	4	2	2	4	4	4	1	3	4	1	2	1	3	1	4	2	3	3	2	1	2	2	4	2	4	3	3	2	1	2	1	2	4	2	3	1	1	2	3	8	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	17	5	132	16	1	1	3	99	233.352096557617	1	88	88	41	41	17	10	4	3	419	45	8	2	2	1	3	4	7	400	9	348.996673583984	17	35	1	88	88	3	0	1	1	1	1	1	1	6	1	1	0	1	0	1	0	1	0	1	1	7	0	88	88	1	1	1	1	1	0	1	1	15	1	1	3	2	88	88	88	88	88	0	1	0	1	0	0	0	88	2	88	1	88	88	88	2	5	7	2	88	88	14	88	88	2	1	88	40	14	1	88	88	88	2	2	1	3	2	4	1	2	2	3	2	2	3	3	2	1	3	88	88	88	2	2	1	1	4	1	3	88	88	88	88	88	88	2	3	1	3	2	2	88	1	88	88	88	88	0	88	88	88	42	3	3	88	88	4
R28YRS	VN011012	12/27/2006	1	1	0	3	7	15	2	1	1	88	88	0	88	88	88	88	88	88	5	10	88	15	28	99	1	88	88	88	6	0	0	0	0	0	0	0	1	99	99	99	99	99	99	99	2	6	88	1	88	1	88	88	88	88	-88	88	88	88	88	88	88	9	0	2	0	0	4	6	3	0	88	88	88	88	88	88	1	0	0	88	88	88	73	144	10	10	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	3	1	1	3	2	3	2	4	3	4	1	4	4	3	4	3	1	4	3	1	1	3	1	5	2	1	4	3	4	2	3	4	2	1	1	3	4	1	2	2	3	2	4	2	3	2	2	4	1	8	2	3	3	1	2	1	2	3	4	1	4	3	4	3	2	3	4	2	3	2	1	1	2	2	4	8	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	10	30	144	30	1	1	3	88	214.22346496582	1	88	88	41	41	10	35	4	3	420	45	8	2	2	1	2	4	7	60	7	266.186309814453	11	5	1	88	88	1	0	1	0	1	1	1	0	4	1	0	0	0	1	1	1	1	0	0	1	6	88	12	12	1	1	1	1	1	1	0	1	10	3	1	2	1	88	88	88	88	88	1	1	0	0	0	0	0	2	2	88	88	88	88	88	2	7	8	2	18	88	14	1	7	2	1	88	33	14	1	88	88	88	1	1	1	1	1	3	2	2	1	2	1	2	2	2	1	1	4	88	88	88	2	2	1	1	2	1	4	88	88	88	88	88	88	1	2	1	3	1	1	3	1	4	1	2	4	0	88	88	88	33	2	2	88	88	4
R28YRS	VN011013	12/27/2006	1	1	0	3	7	15	2	1	1	2	88	0	88	88	88	88	88	88	10	5	88	2	16	88	1	88	88	88	6	0	0	0	0	0	0	0	1	99	99	99	99	99	99	99	2	4	88	1	88	1	88	88	88	88	-88	88	88	88	88	88	88	9	1	2	0	0	4	4	4	0	88	88	88	88	88	88	1	0	0	88	88	88	73	132	13	35	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	3	1	1	3	2	3	2	4	3	4	1	1	3	3	4	2	1	1	2	3	3	4	1	7	2	1	4	1	1	3	3	4	4	2	3	3	6	1	2	3	3	2	1	1	2	2	2	4	3	4	2	1	4	3	3	2	1	1	3	2	1	3	8	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	13	55	132	26	1	1	3	93	223.297302246094	1	88	88	41	41	14	0	4	2	419	67	8	3	2	4	4	2	0	20	3	189.606216430664	14	45	1	88	88	1	0	1	0	1	0	1	0	3	1	0	0	0	1	1	1	1	0	1	1	7	88	12	12	1	1	1	1	1	1	0	1	7	3	1	3	1	88	88	88	88	88	1	1	0	0	0	0	0	2	2	88	88	88	88	88	2	7	8	8	12	88	7	11	88	2	1	88	11	14	1	88	88	88	2	2	2	1	1	3	2	2	1	2	1	1	2	3	2	2	4	88	88	88	3	2	1	1	3	1	4	88	88	88	88	88	88	1	2	1	2	2	1	3	2	2	2	2	4	0	88	88	88	11	3	3	88	88	4
R28YRS	VN011014	12/27/2006	1	1	0	3	7	10	2	0	88	88	88	0	88	88	88	88	88	88	10	5	88	16	15	88	0	10	88	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	10	0	1	0	0	4	3	6	0	88	88	88	88	88	88	1	0	0	88	88	88	73	144	15	10	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	3	1	1	3	2	1	2	3	3	4	1	1	3	1	4	3	1	4	2	3	2	3	1	2	2	1	4	3	4	2	4	3	1	1	1	3	5	4	2	3	3	4	1	4	3	1	2	4	1	3	2	3	2	1	2	3	2	1	4	1	4	3	5	1	2	3	4	3	2	1	2	1	2	2	3	8	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	15	25	144	24	1	1	3	99	233.352096557617	1	88	88	41	41	15	30	4	3	419	45	8	2	2	1	2	4	7	120	8	302.010223388672	16	10	1	88	88	3	0	1	1	1	1	1	1	6	1	1	1	0	0	1	1	1	0	1	1	8	88	0	0	1	1	1	1	1	77	1	1	8	2	1	3	2	88	88	88	88	88	0	0	0	0	0	0	0	88	88	88	88	88	88	88	2	5	7	17	1	88	14	8	88	2	1	88	44	12	1	88	88	88	2	2	1	1	1	1	1	2	3	2	1	1	4	4	1	1	3	88	88	88	4	3	1	1	4	2	4	88	88	88	88	88	88	1	4	1	4	1	1	3	1	2	1	1	4	0	88	88	88	42	3	2	72	88	5
R28YRS	VN011015	12/24/2006	1	1	0	3	7	10	2	0	88	88	88	0	88	88	88	88	88	88	5	10	3	16	88	88	1	88	88	88	12	4	0	8	0	0	9	0	2	2	99	2	99	99	2	99	2	5	6	1	88	1	88	88	88	88	-88	88	88	88	88	88	88	8	1	2	0	0	4	6	3	0	88	88	88	88	88	88	3	0	0	88	88	88	109	192	10	20	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	4	1	4	2	1	2	4	3	1	2	1	3	3	4	1	2	1	4	1	4	3	3	3	2	1	4	1	1	1	2	2	3	2	3	2	4	3	1	3	1	4	4	1	2	2	1	4	2	2	1	4	3	3	2	1	1	4	2	3	3	3	3	2	2	3	3	2	3	2	1	3	4	1	3	3	2	3	2	2	3	2	3	1	2	3	1	9	88	88	88	88	88	88	88	88	88	88	88	88	88	10	45	192	22	1	1	3	141	300.547546386719	1	88	88	41	41	10	50	4	3	419	45	8	2	2	1	2	4	7	400	9	348.996673583984	11	20	1	88	88	1	0	1	0	1	0	1	0	3	1	0	0	0	0	1	1	1	0	0	1	5	88	12	0	1	1	1	1	1	1	1	1	4	3	1	3	2	88	88	88	88	88	1	0	0	0	0	0	0	1	88	88	88	88	88	88	3	4	7	15	2	88	14	9	88	3	1	88	37	14	1	88	88	88	2	3	1	2	2	1	1	2	1	2	1	1	4	4	1	2	4	88	88	88	4	4	1	1	2	1	4	88	88	88	88	88	88	1	2	1	2	2	3	3	1	3	4	4	4	1	1	1	1	37	3	3	88	88	4
R28YRS	VN011016	12/24/2006	1	1	0	3	7	10	2	0	88	88	88	0	88	88	88	88	88	88	1	10	88	15	16	88	0	5	3	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	8	2	1	1	0	4	2	6	0	88	88	88	88	88	88	3	0	0	88	88	88	49	132	7	30	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	3	1	1	1	4	2	1	4	2	3	3	4	1	4	1	2	3	3	4	1	1	4	2	3	1	3	2	4	3	4	1	3	2	1	2	4	3	3	2	1	4	1	4	1	1	1	4	3	2	3	1	4	2	1	4	3	4	3	4	4	1	1	1	3	4	4	2	2	3	3	2	1	1	2	2	4	3	6	2	4	1	3	3	4	1	2	1	4	3	88	8	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	7	55	132	27	1	1	3	90	217.902053833008	1	88	88	41	41	8	0	4	3	419	45	8	2	2	1	4	4	7	400	9	348.996673583984	8	45	1	88	88	2	0	1	0	1	1	1	0	4	1	0	1	0	0	1	0	1	0	1	1	6	0	88	88	1	1	1	1	1	0	0	1	12	3	1	2	1	88	88	88	88	88	1	0	0	1	0	0	99	3	88	88	1	88	88	99	2	6	7	6	2	88	15	16	88	2	1	88	40	14	1	88	88	88	1	1	1	1	2	2	1	1	1	3	1	1	3	3	1	1	3	88	88	88	2	3	1	1	3	2	3	88	88	88	88	88	88	1	3	1	3	1	1	3	3	3	3	3	3	0	88	88	88	37	3	3	88	88	4
R28YRS	VN011017	12/25/2006	1	1	0	3	7	7	2	1	1	88	88	0	88	88	88	88	88	88	1	10	3	88	88	88	1	88	88	88	3	0	0	0	0	0	3	0	2	99	99	99	99	99	2	99	2	3	88	1	88	1	88	88	88	88	-88	88	88	88	88	88	88	11	0	0	0	0	5	3	5	0	88	88	88	88	88	88	1	0	0	88	88	88	109	204	13	0	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	4	1	4	2	1	2	4	3	1	2	4	3	4	2	2	2	3	4	1	1	3	5	3	2	1	4	1	1	4	4	2	3	2	3	0	4	3	2	3	1	3	2	1	2	2	1	4	1	1	2	4	3	4	1	2	1	4	2	3	3	2	4	2	3	3	1	2	3	2	1	3	4	1	2	4	2	3	4	1	3	2	4	2	3	1	1	2	4	2	1	1	1	4	3	1	3	2	3	2	2	13	30	204	15	1	1	3	155	334.880981445313	1	88	88	41	41	13	35	4	3	419	45	8	2	2	4	2	4	7	400	8	302.010223388672	14	0	1	88	88	1	0	1	1	1	1	1	1	6	1	1	0	1	0	1	1	1	1	1	1	9	88	0	0	1	1	1	1	1	0	1	1	9	2	1	3	1	88	88	88	88	88	1	1	0	0	0	0	0	2	2	88	88	88	88	88	2	5	6	2	6	12	5	14	15	2	1	88	40	14	1	88	88	88	1	1	1	2	1	3	1	2	1	2	1	1	4	4	1	1	4	88	88	88	4	4	1	1	4	1	4	88	88	88	88	88	88	1	4	1	4	2	1	4	1	4	4	4	4	0	88	88	88	28	2	3	8	9	2
R28YRS	VN011018	12/26/2006	1	1	0	3	6	30	2	0	88	88	88	0	88	88	88	88	88	88	5	10	88	16	13	88	0	3	12	88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	-88	88	88	88	88	88	88	8	3	3	0	0	4	2	4	0	88	88	88	88	88	88	1	0	0	88	88	88	13	132	13	30	88	88	88	88	88	88	88	88	88	88	88	88	88	2	1	3	1	3	2	1	4	3	4	2	1	1	3	3	4	4	1	2	3	2	2	1	3	3	2	1	4	3	2	1	4	3	2	4	2	3	2	6	3	2	1	2	3	2	1	4	2	3	3	4	2	4	2	2	3	1	4	1	1	4	2	3	1	4	2	1	3	1	1	3	3	1	2	3	3	4	3	4	3	1	4	3	1	1	3	3	3	3	1	5	2	1	3	3	4	2	3	4	2	1	1	3	5	1	1	3	3	4	1	4	2	3	2	4	1	5	2	1	4	1	2	3	2	4	1	2	3	3	9	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	14	0	132	41	1	1	3	73	184.304336547852	1	88	88	41	41	14	5	4	3	23	46	4	4	3	1	2	1	3	54	1	138.206680297852	14	45	1	88	88	3	0	1	0	1	0	1	0	3	1	0	0	0	0	0	1	1	0	0	1	4	88	0	0	1	1	1	1	0	1	0	1	7	3	1	2	1	88	88	88	88	88	1	0	0	0	0	0	0	2	88	88	88	88	88	88	2	3	4	1	5	18	14	7	88	2	1	88	11	12	1	88	88	88	1	1	2	1	1	2	2	2	1	2	2	1	3	3	2	2	4	88	88	88	3	2	2	1	2	2	4	88	88	88	88	88	88	1	2	2	2	1	1	3	2	2	3	3	4	0	88	88	88	11	4	5	15	8	6
R28YRS	VN011019	12/25/2006	1	1	0	3	7	15	2	1	1	88	88	0	88	88	88	88	88	88	1	10	9	16	22	88	1	88	88	88	3	0	0	0	0	0	0	0	2	99	99	99	99	99	99	99	2	6	88	1	88	1	88	88	88	88	-88	88	88	88	88	88	88	8	0	1	0	0	4	5	6	0	88	88	88	88	88	88	1	0	0	88	88	88	109	204	7	30	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	3	1	4	2	1	2	4	3	1	2	4	3	3	4	77	2	1	4	1	4	3	3	3	2	2	4	1	2	4	4	2	3	2	3	2	4	3	1	2	1	3	4	1	2	2	1	4	2	2	4	3	3	4	2	1	1	4	2	3	3	4	4	2	1	3	1	2	3	2	1	3	2	1	2	3	1	3	4	1	3	1	3	2	4	1	2	4	3	2	4	1	1	4	3	1	4	2	3	2	2	8	0	204	20	1	1	3	148	315.261871337891	1	88	88	41	41	8	5	4	3	419	45	8	2	2	1	2	4	7	400	9	348.996673583984	8	35	1	88	88	1	0	1	0	1	0	1	0	3	1	1	1	0	1	1	0	1	1	1	1	9	0	88	88	1	1	1	1	1	0	1	1	9	3	1	3	2	88	88	88	88	88	1	1	0	1	0	0	99	2	2	88	1	88	88	99	3	6	7	2	14	15	14	11	88	3	1	88	40	14	77	11	88	88	2	3	3	2	1	4	1	2	1	3	1	1	4	3	1	3	4	88	88	88	4	4	1	1	4	2	4	88	88	88	88	88	88	1	2	1	4	2	2	4	2	4	3	2	4	0	88	88	88	37	3	3	88	88	4
R28YRS	VN011020	12/25/2006	1	1	0	3	7	15	2	1	1	2	88	0	88	88	88	88	88	88	5	10	88	16	88	88	1	88	88	88	3	3	0	3	0	0	3	0	1	1	99	1	99	99	1	99	2	4	88	1	88	1	88	88	88	88	-88	88	88	88	88	88	88	9	0	0	2	0	4	3	6	0	88	88	88	88	88	88	1	0	0	88	88	88	109	204	9	10	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	4	2	3	3	1	1	4	4	1	2	4	3	1	2	4	3	2	1	1	2	1	4	1	4	3	1	3	2	1	4	1	2	4	4	2	3	2	3	1	4	3	2	2	1	3	4	1	2	2	1	4	1	2	3	4	3	4	2	2	1	4	2	3	3	2	4	2	3	3	2	2	3	2	1	3	4	1	2	3	1	3	2	3	3	2	4	2	3	1	2	3	4	2	3	1	2	4	3	1	4	2	3	2	1	9	35	204	12	1	1	3	156	338.559539794922	1	88	88	41	41	9	40	4	3	419	45	8	2	2	1	2	4	7	400	9	348.996673583984	10	5	1	88	88	3	0	1	0	1	0	1	0	3	1	1	0	0	0	0	1	1	0	1	1	6	0	88	88	1	1	1	1	0	0	1	1	5	1	1	2	1	88	88	88	88	88	1	0	0	0	0	0	0	1	88	88	88	88	88	88	2	5	6	2	88	88	14	16	88	2	1	88	32	14	1	88	88	88	2	3	1	1	1	3	1	2	1	3	1	2	2	2	3	1	4	88	88	88	3	3	1	1	4	1	3	88	88	88	88	88	88	1	3	1	4	2	1	3	1	3	3	3	4	0	88	88	88	32	3	3	88	88	4
R28YRS	VN011021	12/25/2006	1	1	0	3	7	15	2	1	1	88	88	0	88	88	88	88	88	88	1	10	88	16	28	88	1	88	88	88	4	0	0	2	0	0	0	0	1	99	99	2	99	99	99	99	2	3	6	1	88	1	88	88	88	88	-88	88	88	88	88	88	88	9	0	2	0	0	5	2	6	0	88	88	88	88	88	88	1	0	0	88	88	88	73	156	14	50	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	2	4	3	3	1	3	2	1	2	4	3	4	1	1	4	3	4	3	1	3	2	1	2	3	1	4	2	1	4	3	4	2	3	3	2	1	2	3	6	3	2	3	3	4	1	1	2	1	2	4	1	4	2	3	2	1	3	2	2	1	4	1	4	3	4	2	2	3	4	1	3	2	4	2	2	2	3	5	4	1	1	2	3	3	1	1	1	2	4	3	8	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	88	15	0	156	26	1	1	3	105	243.161651611328	1	88	88	41	41	15	5	4	3	429	45	8	2	2	4	2	4	7	46	6	243.601669311523	15	30	1	88	88	3	0	1	1	1	1	1	0	5	1	1	1	0	1	1	1	1	1	1	1	10	0	88	88	1	1	1	1	1	0	1	1	7	2	1	99	1	88	88	88	88	88	1	1	0	0	0	0	0	2	2	88	88	88	88	88	2	5	7	6	2	15	5	14	88	2	1	88	37	14	1	1	5	7	1	1	2	3	2	3	2	2	2	3	2	2	4	4	1	1	4	88	88	88	4	4	1	1	3	1	4	88	88	88	88	88	88	1	3	1	3	1	1	3	1	3	2	1	4	1	2	11	1	37	3	3	88	88	4
