PLACEID	WTSPIDR5	CONNTYPE	WATERTRT	TREATFRQ
101	1	1	 	 
101	2	0	 	 
101	3	0	 	 
102	1	1	 	 
102	2	0	 	 
102	3	0	 	 
201	1	0	 	 
201	2	0	 	 
201	3	1	1	10
202	1	1	 	 
202	2	0	 	 
202	3	1	1	2
203	1	1	 	 
203	2	0	 	 
203	3	0	 	 
204	1	1	 	 
204	2	0	 	 
204	3	0	 	 
205	1	1	 	 
205	2	0	 	 
205	3	0	 	 
301	1	0	 	 
301	2	0	 	 
301	3	1	0	 
304	1	0	 	 
304	2	0	 	 
304	3	1	1	2
305	1	0	 	 
305	2	0	 	 
305	3	1	1	4
306	1	0	 	 
306	2	0	 	 
306	3	1	1	2
307	1	0	 	 
307	2	0	 	 
307	3	1	1	5
308	1	0	 	 
308	2	1	1	1
308	3	0	 	 
309	1	0	 	 
309	2	0	 	 
309	3	1	1	4
310	1	0	 	 
310	2	0	 	 
310	3	1	1	6
311	1	0	 	 
311	2	0	 	 
311	3	1	1	4
312	1	0	 	 
312	2	0	 	 
312	3	1	1	4
313	1	0	 	 
313	2	0	 	 
313	3	1	1	10
314	1	0	 	 
314	2	0	 	 
314	3	1	1	4
401	1	0	 	 
401	2	0	 	 
401	3	1	0	 
402	1	0	 	 
402	2	0	 	 
402	3	1	1	4
403	1	0	 	 
403	2	0	 	 
403	3	1	1	2
404	1	0	 	 
404	2	0	 	 
404	3	1	1	4
405	1	0	 	 
405	2	0	 	 
405	3	1	0	 
406	1	0	 	 
406	2	0	 	 
406	3	1	1	5
408	1	0	 	 
408	2	0	 	 
408	3	1	1	8
501	1	0	 	 
501	2	0	 	 
501	3	1	1	5
503	1	0	 	 
503	2	0	 	 
503	3	1	1	5
504	1	0	 	 
504	2	0	 	 
504	3	1	0	 
505	1	0	 	 
505	2	0	 	 
505	3	1	0	 
507	1	0	 	 
507	2	1	1	3
507	3	0	 	 
508	1	0	 	 
508	2	1	1	3
508	3	0	 	 
509	1	0	 	 
509	2	1	0	 
509	3	0	 	 
510	1	0	 	 
510	2	1	1	2
510	3	0	 	 
511	1	0	 	 
511	2	0	 	 
511	3	1	1	3
512	1	0	 	 
512	2	1	0	 
512	3	0	 	 
601	1	1	 	 
601	2	0	 	 
601	3	0	 	 
602	1	1	 	 
602	2	0	 	 
602	3	0	 	 
701	1	1	 	 
701	2	0	 	 
701	3	0	 	 
702	1	1	 	 
702	2	0	 	 
702	3	0	 	 
703	1	1	 	 
703	2	0	 	 
703	3	0	 	 
704	1	1	 	 
704	2	0	 	 
704	3	1	1	3
801	1	1	 	 
801	2	0	 	 
801	3	0	 	 
802	1	1	 	 
802	2	0	 	 
802	3	0	 	 
803	1	1	 	 
803	2	0	 	 
803	3	0	 	 
901	1	0	 	 
901	2	1	1	5
901	3	1	1	5
902	1	0	 	 
902	2	0	 	 
902	3	1	1	4
903	1	0	 	 
903	2	0	 	 
903	3	1	1	4
904	1	0	 	 
904	2	0	 	 
904	3	1	1	4
905	1	0	 	 
905	2	0	 	 
905	3	1	1	6
906	1	0	 	 
906	2	0	 	 
906	3	1	1	4
907	1	0	 	 
907	2	0	 	 
907	3	1	1	4
908	1	0	 	 
908	2	0	 	 
908	3	1	1	4
909	1	0	 	 
909	2	0	 	 
909	3	1	1	4
910	1	0	 	 
910	2	0	 	 
910	3	1	1	4
911	1	0	 	 
911	2	0	 	 
911	3	1	1	5
912	1	0	 	 
912	2	0	 	 
912	3	1	1	4
1001	1	1	 	 
1001	2	0	 	 
1001	3	0	 	 
1003	1	1	 	 
1003	2	0	 	 
1003	3	0	 	 
1004	1	1	 	 
1004	2	0	 	 
1004	3	0	 	 
1005	1	1	 	 
1005	2	0	 	 
1005	3	0	 	 
1006	1	1	 	 
1006	2	0	 	 
1006	3	0	 	 
1101	1	 	 	 
1101	2	 	 	 
1101	3	 	 	 
1102	1	 	 	 
1102	2	 	 	 
1102	3	 	 	 
1103	1	 	 	 
1103	2	 	 	 
1103	3	 	 	 
1104	1	 	 	 
1104	2	 	 	 
1104	3	 	 	 
1105	1	 	 	 
1105	2	 	 	 
1105	3	 	 	 
1106	1	 	 	 
1106	2	 	 	 
1106	3	 	 	 
1107	1	 	 	 
1107	2	 	 	 
1107	3	 	 	 
1108	1	 	 	 
1108	2	 	 	 
1108	3	 	 	 
1202	1	1	 	 
1202	2	0	 	 
1202	3	0	 	 
1203	1	1	 	 
1203	2	0	 	 
1203	3	0	 	 
1302	1	1	 	 
1302	2	0	 	 
1302	3	0	 	 
1303	1	1	 	 
1303	2	0	 	 
1303	3	0	 	 
1304	1	1	 	 
1304	2	0	 	 
1304	3	0	 	 
1402	1	 	 	 
1402	2	0	 	 
1402	3	0	 	 
1403	1	1	 	 
1403	2	0	 	 
1403	3	0	 	 
1404	1	1	 	 
1404	2	0	 	 
1404	3	0	 	 
1501	1	 	 	 
1501	2	 	 	 
1501	3	 	 	 
1502	1	 	 	 
1502	2	 	 	 
1502	3	 	 	 
1503	1	 	 	 
1503	2	 	 	 
1503	3	 	 	 
1504	1	 	 	 
1504	2	 	 	 
1504	3	 	 	 
1505	1	 	 	 
1505	2	 	 	 
1505	3	 	 	 
1506	1	 	 	 
1506	2	 	 	 
1506	3	 	 	 
1507	1	 	 	 
1507	2	 	 	 
1507	3	 	 	 
1508	1	 	 	 
1508	2	 	 	 
1508	3	 	 	 
1509	1	1	 	 
1509	2	0	 	 
1509	3	0	 	 
1601	1	0	 	 
1601	2	0	 	 
1601	3	1	1	3
1602	1	0	 	 
1602	2	1	1	1
1602	3	0	 	 
1603	1	0	 	 
1603	2	0	 	 
1603	3	1	1	4
1604	1	0	 	 
1604	2	0	 	 
1604	3	1	1	6
1605	1	0	 	 
1605	2	0	 	 
1605	3	1	1	6
1606	1	0	 	 
1606	2	0	 	 
1606	3	1	1	4
1607	1	0	 	 
1607	2	0	 	 
1607	3	1	1	3
1608	1	0	 	 
1608	2	0	 	 
1608	3	1	1	4
1701	1	0	 	 
1701	2	0	 	 
1701	3	1	1	4
1702	1	0	 	 
1702	2	1	1	4
1702	3	0	 	 
1703	1	 	 	 
1703	2	 	 	 
