childid	id	age	memsex	relate	livhse	grader3	stillr3	schtypr3	agestr3	agegrdr3	disabr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3
PE011001	0	7	2	0	1	 	 	 	 	 	0	9	1	0	0	0	6	2	6
PE011001	1	37	1	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011001	2	28	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011001	3	12	1	7	1	5	1	4	6	 	0	11	1	0	0	0	6	2	4
PE011001	4	13	1	7	1	10	1	4	5	 	0	10	2	0	0	0	6	4	2
PE011001	5	2	2	7	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE011002	0	7	2	0	1	 	 	 	 	 	0	10	0	3	0	0	6	2	3
PE011002	1	60	1	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011002	2	46	2	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011002	3	 	 	 	 	6	1	4	6	 	 	 	 	 	 	 	 	 	 
PE011002	15	11	2	7	1	 	 	 	 	 	0	10	2	3	0	0	6	1	2
PE011003	0	8	1	0	1	 	 	 	 	 	0	10	0	0	0	0	6	2	6
PE011003	1	32	1	1	1	13	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011003	2	30	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011003	3	5	2	7	1	0	1	4	 	 	0	10	0	0	0	0	6	2	6
PE011004	0	8	1	0	1	 	 	 	 	 	0	8	0	0	0	0	5	1	3
PE011004	1	42	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011004	2	42	2	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011004	3	6	2	7	1	1	1	4	5	 	0	9	0	0	0	0	5	2	3
PE011005	0	8	1	0	1	 	 	 	 	 	0	10	0	1	0	0	6	1	6
PE011005	1	43	1	6	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011005	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011005	3	44	2	5	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011005	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011005	5	20	2	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011005	6	18	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011005	7	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011005	8	6	1	13	1	 	 	 	 	 	0	10	0	0	0	0	6	2	6
PE011006	0	7	2	0	1	 	 	 	 	 	0	10	2	0	0	0	6	1	4
PE011006	1	32	1	1	1	4	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011006	2	29	2	1	1	4	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011006	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011006	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011006	5	4	2	7	1	0	1	4	 	 	0	10	0	0	0	0	5	2	6
PE011007	0	8	2	0	1	 	 	 	 	 	0	9	0	1	0	0	6	2	6
PE011007	1	43	1	1	1	19	0	1	 	 	0	 	 	 	 	 	 	 	 
PE011007	2	43	2	1	1	16	0	1	 	 	0	 	 	 	 	 	 	 	 
PE011007	3	13	1	7	1	7	1	1	6	 	0	9	0	1	0	0	7	2	5
PE011007	4	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011007	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011007	15	11	1	7	1	5	1	1	6	 	0	9	0	1	0	0	6	2	6
PE011008	0	8	1	0	1	 	 	 	 	 	0	11	1	2	0	0	6	2	2
PE011008	1	35	1	1	1	13	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011008	2	38	2	1	1	13	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011008	15	10	2	7	1	4	1	4	6	 	0	11	2	1	0	0	6	2	2
PE011008	16	3	2	7	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011009	0	7	1	0	1	 	 	 	 	 	0	9	0	1	0	0	6	2	5
PE011009	1	31	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011009	2	29	2	1	1	11	0	1	 	 	0	 	 	 	 	 	 	 	 
PE011009	3	12	2	7	1	6	1	1	6	 	0	9	1	1	0	0	7	3	3
PE011009	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011009	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011009	6	2	1	7	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE011010	0	8	1	0	1	 	 	 	 	 	0	11	0	0	0	0	9	1	3
PE011010	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011010	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011010	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011010	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011010	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011010	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011010	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011010	16	4	2	7	1	20	1	4	 	 	0	11	0	0	0	0	5	1	7
PE011010	17	29	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011010	18	59	2	6	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011010	19	92	2	18	1	 	 	 	 	 	5	 	 	 	 	 	 	 	 
PE011010	20	60	2	19	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011010	21	24	2	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011011	0	7	2	0	1	 	 	 	 	 	0	8	4	1	0	0	6	1	4
PE011011	1	33	1	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011011	2	33	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011011	15	10	1	7	1	6	1	4	6	 	0	8	4	1	0	0	6	1	4
PE011011	16	5	1	7	1	0	1	4	4	 	0	10	0	0	0	0	4	1	7
PE011012	0	8	2	0	1	 	 	 	 	 	0	9	2	1	1	0	6	1	4
PE011012	1	37	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011012	2	37	2	1	1	14	1	4	 	 	0	 	 	 	 	 	 	 	 
PE011012	15	10	1	7	1	6	1	4	5	 	0	10	1	2	1	0	6	2	3
PE011012	16	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011012	17	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011012	18	1	1	7	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE011013	0	8	2	0	1	 	 	 	 	 	0	9	0	0	0	0	5	3	5
PE011013	1	27	1	1	1	10	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011013	2	28	2	1	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011013	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011013	4	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011013	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011013	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011013	7	5	2	7	1	20	1	4	0	0	0	9	0	0	0	0	4	3	5
PE011013	8	3	2	7	1	20	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011013	9	0	1	7	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE011014	0	7	1	0	1	 	 	 	 	 	0	10	2	1	0	0	6	1	4
PE011014	1	25	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011014	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011014	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011014	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011014	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011014	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011014	15	10	2	7	1	5	1	4	6	 	0	10	3	2	0	0	6	2	2
PE011014	16	4	1	9	1	0	1	4	 	 	0	9	0	1	0	0	5	1	6
PE011014	17	32	1	2	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011014	18	0	1	9	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE011015	0	7	1	0	1	 	 	 	 	 	0	8	0	1	0	0	6	1	8
PE011015	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	2	24	2	1	1	10	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011015	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	7	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	8	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	9	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	10	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	11	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	12	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	13	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	14	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	15	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	16	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	17	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	18	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	19	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011015	20	5	1	9	1	20	1	4	 	 	0	8	0	0	0	0	6	1	8
PE011015	21	26	1	2	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011016	0	7	1	0	1	 	 	 	 	 	0	10	1	0	0	0	6	2	4
PE011016	1	35	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011016	2	31	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011016	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011016	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011016	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011016	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011016	7	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011016	8	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011016	9	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011016	10	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011016	11	4	1	7	1	20	1	4	 	 	0	11	0	0	0	0	6	2	5
PE011017	0	7	1	0	1	 	 	 	 	 	0	11	0	0	0	0	6	1	6
PE011017	1	32	1	1	1	3	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011017	2	30	2	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011017	15	11	1	7	1	5	1	4	7	 	0	11	0	1	0	0	6	2	4
PE011017	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011018	0	8	2	0	1	 	 	 	 	 	0	10	1	1	0	0	6	1	3
PE011018	1	47	1	1	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011018	2	40	2	1	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011018	3	18	2	7	1	10	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011018	4	14	2	7	1	9	1	4	5	 	0	9	1	1	0	0	7	2	2
PE011018	5	13	1	7	1	6	1	4	6	 	0	9	1	0	0	0	7	2	3
PE011018	6	24	1	16	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011018	7	3	1	15	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011019	0	7	1	0	1	 	 	 	 	 	0	9	1	1	0	0	6	2	3
PE011019	1	33	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011019	2	25	2	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011019	3	6	1	7	1	1	1	4	6	 	0	9	1	1	0	0	6	2	4
PE011019	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011019	5	0	2	7	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE011020	0	8	1	0	1	 	 	 	 	 	0	9	0	0	0	0	6	3	5
PE011020	1	40	1	1	1	16	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011020	2	32	2	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011021	0	8	2	0	1	 	 	 	 	 	0	10	0	0	0	0	6	2	4
PE011021	1	46	1	1	1	5	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011021	2	39	2	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011021	3	18	2	7	1	13	1	4	 	 	0	 	 	 	 	 	 	 	 
PE011021	4	14	2	7	1	9	1	4	6	 	0	9	3	2	0	0	6	3	1
PE011021	5	16	2	7	1	8	1	4	7	 	0	9	2	2	0	0	6	3	3
PE011022	0	8	1	0	1	 	 	 	 	 	0	9	1	0	0	0	6	2	6
PE011022	1	43	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011022	2	37	2	1	1	7	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011022	3	19	1	7	1	13	1	4	 	 	0	 	 	 	 	 	 	 	 
PE011022	4	6	1	7	1	1	1	4	6	 	0	9	1	1	0	0	6	2	5
PE011022	5	1	1	7	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE011023	0	8	1	0	1	 	 	 	 	 	0	9	2	0	0	0	6	2	3
PE011023	1	29	1	1	1	10	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011023	2	25	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011023	3	2	2	7	1	20	1	4	 	 	0	 	 	 	 	 	 	 	 
PE011024	0	8	2	0	1	 	 	 	 	 	0	9	2	1	0	0	6	2	3
PE011024	1	26	1	1	1	14	0	1	 	 	0	 	 	 	 	 	 	 	 
PE011024	2	26	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011024	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011024	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011024	15	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011024	16	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011024	17	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011024	18	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011024	19	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011024	20	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011024	21	1	1	7	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE011025	0	8	1	0	1	 	 	 	 	 	0	9	0	1	0	0	5	3	4
PE011025	1	34	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011025	2	31	2	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011025	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011025	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011025	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011025	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011025	15	9	1	9	1	5	1	4	6	 	0	9	1	2	0	0	5	4	2
PE011026	0	7	1	0	1	 	 	 	 	 	0	10	0	1	0	0	6	3	2
PE011026	1	34	1	1	1	14	1	1	 	 	0	 	 	 	 	 	 	 	 
PE011026	2	33	2	1	1	13	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011026	3	12	1	7	1	8	1	4	5	 	0	8	1	2	0	0	6	2	3
PE011026	15	8	1	7	1	3	1	4	6	 	0	10	1	1	0	0	6	1	3
PE011026	16	3	2	7	1	0	1	4	 	 	0	 	 	 	 	 	 	 	 
PE011027	0	7	2	0	1	 	 	 	 	 	0	9	0	2	0	0	6	2	4
PE011027	1	45	1	1	1	8	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011027	2	36	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011027	3	17	1	7	1	9	0	4	6	16	0	10	0	0	0	11	0	0	3
PE011027	4	15	2	7	1	8	1	4	6	 	0	10	1	3	0	0	6	3	1
PE011027	5	25	1	8	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011027	6	35	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011028	0	8	2	0	1	 	 	 	 	 	0	8	0	1	0	0	6	1	4
PE011028	1	29	2	1	1	11	0	1	 	 	0	 	 	 	 	 	 	 	 
PE011028	2	12	2	7	1	7	1	1	6	 	0	8	0	0	0	0	7	3	2
PE011028	3	43	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011028	4	6	1	7	1	 	 	 	 	 	0	10	0	0	0	0	5	1	4
PE011028	6	 	 	 	 	20	1	4	 	 	 	 	 	 	 	 	 	 	 
PE011029	0	8	2	0	1	 	 	 	 	 	6	10	0	1	0	0	7	1	5
PE011029	1	49	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011029	2	41	2	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011029	3	15	1	7	1	9	1	4	6	 	0	9	0	1	0	0	6	2	6
PE011030	0	7	1	0	1	 	 	 	 	 	0	10	0	0	0	0	6	2	4
PE011030	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011030	2	25	2	1	1	14	1	1	 	 	0	 	 	 	 	 	 	 	 
PE011030	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011030	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011030	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011030	15	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011030	16	45	1	5	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011030	17	45	2	5	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011030	18	18	2	13	1	15	1	1	 	 	0	 	 	 	 	 	 	 	 
PE011030	19	9	2	13	1	5	1	4	6	 	0	9	0	0	0	0	5	1	3
PE011031	0	8	2	0	1	 	 	 	 	 	0	9	0	0	0	0	5	2	6
PE011031	1	32	1	1	1	13	0	1	 	 	0	 	 	 	 	 	 	 	 
PE011031	2	24	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011032	0	8	2	0	1	 	 	 	 	 	0	9	0	1	0	0	6	2	4
PE011032	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011032	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011032	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011032	4	34	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011032	5	77	1	6	1	5	0	4	 	 	5	 	 	 	 	 	 	 	 
PE011032	6	61	2	6	1	3	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011032	7	6	1	7	1	1	1	1	6	 	0	9	0	1	0	0	6	2	4
PE011032	8	4	2	7	1	20	1	1	 	 	0	9	0	0	0	0	5	1	5
PE011033	0	7	1	0	1	 	 	 	 	 	0	10	1	0	0	0	6	3	5
PE011033	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011033	2	68	1	5	1	1	0	4	 	 	1	 	 	 	 	 	 	 	 
PE011033	3	59	2	5	1	2	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011033	4	38	2	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011033	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011033	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011033	15	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011033	16	27	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011033	17	40	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011033	18	4	2	14	1	 	 	 	 	 	0	12	1	0	0	0	5	2	4
PE011033	19	2	1	14	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011033	20	0	2	14	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011033	21	37	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011033	22	45	2	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011034	0	7	1	0	1	 	 	 	 	 	0	12	0	0	0	0	6	3	3
PE011034	1	25	2	1	1	10	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011034	2	48	2	5	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011034	3	27	2	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011034	4	21	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011034	5	29	2	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011034	6	9	2	14	1	 	 	 	 	 	0	11	0	0	0	0	6	2	4
PE011034	7	25	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011034	8	5	2	14	1	 	 	 	 	 	0	9	0	0	0	0	5	2	6
PE011035	0	7	2	0	1	 	 	 	 	 	0	10	0	1	0	0	6	2	4
PE011035	1	46	1	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011035	2	39	2	1	1	9	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011035	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011035	4	17	1	7	1	7	0	4	6	12	0	11	0	0	0	12	0	0	1
PE011035	5	12	2	7	1	5	1	4	5	 	0	10	0	1	1	0	6	2	4
PE011035	15	9	2	7	1	4	1	4	6	 	0	10	0	1	1	0	6	2	4
PE011035	16	16	2	9	1	11	1	4	6	 	0	10	2	2	1	0	6	2	1
PE011035	17	19	1	9	1	11	1	4	 	 	0	 	 	 	 	 	 	 	 
PE011036	0	7	1	0	1	 	 	 	 	 	0	10	0	0	0	0	5	1	8
PE011036	1	45	1	1	1	7	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011036	2	36	2	1	1	7	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011036	3	20	2	9	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011036	4	17	2	9	1	10	1	4	6	 	0	 	 	 	 	 	 	 	 
PE011036	5	14	1	9	1	7	1	4	6	 	0	 	 	 	 	 	 	 	 
PE011036	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011036	7	0	2	7	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE011036	8	0	2	14	1	0	3	 	 	 	0	 	 	 	 	 	 	 	 
PE011037	0	7	1	0	1	 	 	 	 	 	0	9	0	0	0	0	6	4	4
PE011037	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011037	2	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011037	3	65	2	5	1	3	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011037	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011037	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011037	6	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011037	7	30	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011037	8	27	1	13	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011037	9	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011037	10	66	1	5	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011038	0	8	1	0	1	 	 	 	 	 	0	10	0	2	0	0	5	2	4
PE011038	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011038	2	40	2	1	1	6	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011038	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011038	4	22	1	7	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011038	5	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011038	6	6	1	7	1	1	1	4	5	 	0	11	0	1	0	0	6	2	4
PE011039	0	8	1	0	1	 	 	 	 	 	0	10	0	1	1	0	6	2	2
PE011039	1	45	1	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011039	2	42	2	1	1	1	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011039	3	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011039	4	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011039	5	15	1	7	1	7	2	1	7	 	0	9	2	0	0	8	6	1	2
PE011039	6	14	2	7	1	7	0	4	7	13	0	9	1	1	0	11	0	0	0
PE011039	7	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011039	8	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011039	15	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011040	0	7	2	0	1	 	 	 	 	 	0	10	0	1	0	0	6	1	1
PE011040	1	45	1	1	1	16	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011040	2	37	2	1	1	14	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011040	3	17	2	7	1	11	0	4	6	16	0	 	 	 	 	 	 	 	 
PE011040	4	15	1	7	1	11	1	4	5	 	0	10	1	1	0	0	5	1	4
PE011040	5	12	1	7	1	7	1	4	6	 	0	10	1	1	0	0	5	1	4
PE011040	6	48	1	5	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011040	7	75	2	5	1	 	 	 	 	 	0	 	 	 	 	 	 	 	 
PE011041	0	8	1	0	1	 	 	 	 	 	0	9	0	0	0	0	6	1	7
PE011041	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011041	2	25	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
PE011041	3	5	2	7	1	0	1	4	 	 	0	9	0	0	0	0	7	2	6
PE011042	0	8	1	0	1	 	 	 	 	 	0	12	3	0	0	0	7	2	3
PE011042	1	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
PE011042	2	31	2	1	1	11	0	4	 	 	0	 	 	 	 	 	 	 	 
