PLACEID	PPIDR5	POLLPROB	POLLAFFCT	POLL3YRS
38	11	0	 	 
38	12	0	 	 
38	13	0	 	 
38	14	0	 	 
40	1	0	 	 
40	2	0	 	 
40	3	0	 	 
40	4	0	 	 
40	5	0	 	 
40	6	0	 	 
40	7	0	 	 
40	8	0	 	 
40	9	0	 	 
40	10	0	 	 
40	11	0	 	 
40	12	0	 	 
40	13	1	2	2
40	14	0	 	 
41	1	0	 	 
41	2	0	 	 
41	3	0	 	 
41	4	0	 	 
41	5	0	 	 
41	6	0	 	 
41	7	0	 	 
41	8	0	 	 
41	9	0	 	 
41	10	0	 	 
41	11	0	 	 
41	12	0	 	 
41	13	0	 	 
41	14	0	 	 
42	1	0	 	 
42	2	0	 	 
42	3	0	 	 
42	4	0	 	 
42	5	0	 	 
42	6	0	 	 
42	7	0	 	 
42	8	0	 	 
42	9	0	 	 
42	10	0	 	 
42	11	0	 	 
42	12	0	 	 
42	13	0	 	 
42	14	0	 	 
43	1	0	 	 
43	2	0	 	 
43	3	0	 	 
43	4	0	 	 
43	5	0	 	 
43	6	0	 	 
43	7	0	 	 
43	8	0	 	 
43	9	0	 	 
43	10	0	 	 
43	11	0	 	 
43	12	0	 	 
43	13	0	 	 
43	14	0	 	 
44	1	0	 	 
44	2	0	 	 
44	3	0	 	 
44	4	0	 	 
44	5	0	 	 
44	6	0	 	 
44	7	0	 	 
44	8	0	 	 
44	9	0	 	 
44	10	0	 	 
44	11	0	 	 
44	12	0	 	 
44	13	0	 	 
44	14	0	 	 
45	1	0	 	 
45	2	0	 	 
45	3	0	 	 
45	4	0	 	 
45	5	0	 	 
45	6	0	 	 
45	7	0	 	 
45	8	0	 	 
45	9	0	 	 
45	10	0	 	 
45	11	0	 	 
45	12	0	 	 
45	13	0	 	 
45	14	0	 	 
46	1	0	 	 
46	2	0	 	 
46	3	0	 	 
46	4	0	 	 
46	5	0	 	 
46	6	0	 	 
46	7	0	 	 
46	8	0	 	 
46	9	0	 	 
46	10	0	 	 
46	11	0	 	 
46	12	0	 	 
46	13	0	 	 
46	14	0	 	 
47	1	0	 	 
47	2	0	 	 
47	3	0	 	 
47	4	0	 	 
47	5	0	 	 
47	6	0	 	 
47	7	0	 	 
47	8	0	 	 
47	9	0	 	 
47	10	1	2	2
47	11	0	 	 
47	12	1	2	2
47	13	0	 	 
47	14	0	 	 
48	1	0	 	 
48	2	0	 	 
48	3	0	 	 
48	4	0	 	 
48	5	0	 	 
48	6	0	 	 
48	7	0	 	 
48	8	0	 	 
48	9	0	 	 
48	10	0	 	 
48	11	0	 	 
48	12	0	 	 
48	13	0	 	 
48	14	0	 	 
49	1	0	 	 
49	2	0	 	 
49	3	0	 	 
49	4	0	 	 
49	5	0	 	 
49	6	0	 	 
49	7	0	 	 
49	8	0	 	 
49	9	0	 	 
49	10	0	 	 
49	11	0	 	 
49	12	0	 	 
49	13	0	 	 
49	14	0	 	 
50	1	0	 	 
50	2	0	 	 
50	3	0	 	 
50	4	0	 	 
50	5	0	 	 
50	6	0	 	 
50	7	1	2	2
50	8	0	 	 
50	9	0	 	 
50	10	0	 	 
50	11	1	2	2
50	12	0	 	 
50	13	0	 	 
50	14	0	 	 
51	1	0	 	 
51	2	0	 	 
51	3	0	 	 
51	4	0	 	 
51	5	0	 	 
51	6	0	 	 
51	7	1	2	2
51	8	0	 	 
51	9	0	 	 
51	10	0	 	 
51	11	1	2	2
51	12	0	 	 
51	13	0	 	 
51	14	0	 	 
52	1	0	 	 
52	2	0	 	 
52	3	0	 	 
52	4	0	 	 
52	5	0	 	 
52	6	0	 	 
52	7	1	2	2
52	8	0	 	 
52	9	0	 	 
52	10	0	 	 
52	11	1	2	3
52	12	0	 	 
52	13	0	 	 
52	14	0	 	 
53	1	0	 	 
53	2	0	 	 
53	3	0	 	 
53	4	0	 	 
53	5	0	 	 
53	6	0	 	 
53	7	1	2	2
53	8	1	2	3
53	9	0	 	 
53	10	0	 	 
53	11	1	2	2
53	12	0	 	 
53	13	0	 	 
53	14	0	 	 
54	1	0	 	 
54	2	1	1	2
54	3	1	1	2
54	4	0	 	 
54	5	0	 	 
54	6	0	 	 
54	7	1	1	2
54	8	0	 	 
54	9	0	 	 
54	10	0	 	 
54	11	1	1	3
54	12	0	 	 
54	13	1	1	2
54	14	0	 	 
55	1	0	 	 
55	2	0	 	 
55	3	0	 	 
55	4	0	 	 
55	5	0	 	 
55	6	0	 	 
55	7	1	2	3
55	8	0	 	 
55	9	0	 	 
55	10	0	 	 
55	11	1	2	3
55	12	0	 	 
55	13	0	 	 
55	14	0	 	 
56	1	0	 	 
56	2	1	2	2
56	3	0	 	 
56	4	0	 	 
56	5	1	2	2
56	6	0	 	 
56	7	1	1	2
56	8	1	2	2
56	9	0	 	 
56	10	1	2	2
56	11	0	 	 
56	12	0	 	 
56	13	1	1	2
56	14	0	 	 
57	1	0	 	 
57	2	0	 	 
57	3	0	 	 
57	4	0	 	 
57	5	1	2	3
57	6	0	 	 
57	7	0	 	 
57	8	0	 	 
57	9	0	 	 
57	10	0	 	 
57	11	0	 	 
57	12	0	 	 
57	13	1	2	3
57	14	0	 	 
58	1	0	 	 
58	2	0	 	 
58	3	0	 	 
58	4	0	 	 
58	5	0	 	 
58	6	0	 	 
58	7	0	 	 
58	8	0	 	 
58	9	0	 	 
58	10	0	 	 
58	11	1	2	3
58	12	0	 	 
58	13	0	 	 
58	14	0	 	 
61	1	0	 	 
61	2	0	 	 
61	3	0	 	 
61	4	1	2	2
61	5	1	2	2
61	6	0	 	 
61	7	1	2	3
61	8	0	 	 
61	9	0	 	 
61	10	0	 	 
61	11	1	2	2
61	12	0	 	 
61	13	1	2	2
61	14	0	 	 
62	1	0	 	 
62	2	1	2	3
62	3	1	2	3
62	4	0	 	 
62	5	1	2	2
62	6	1	2	2
62	7	1	2	3
62	8	0	 	 
62	9	0	 	 
62	10	0	 	 
62	11	1	2	2
62	12	0	 	 
62	13	1	2	2
62	14	0	 	 
63	1	0	 	 
63	2	0	 	 
63	3	0	 	 
63	4	1	2	2
63	5	1	2	2
63	6	0	 	 
63	7	1	2	3
63	8	0	 	 
63	9	0	 	 
63	10	0	 	 
63	11	1	1	1
63	12	0	 	 
63	13	1	2	3
63	14	0	 	 
64	1	0	 	 
64	2	0	 	 
64	3	1	2	2
64	4	0	 	 
64	5	1	2	3
64	6	1	2	2
64	7	1	2	3
64	8	0	 	 
64	9	0	 	 
64	10	0	 	 
64	11	0	 	 
64	12	0	 	 
64	13	1	2	2
64	14	0	 	 
65	1	0	 	 
65	2	1	2	3
65	3	0	 	 
65	4	1	2	2
65	5	0	 	 
65	6	0	 	 
65	7	1	2	3
65	8	0	 	 
65	9	0	 	 
65	10	0	 	 
65	11	1	1	1
65	12	0	 	 
65	13	1	2	2
65	14	0	 	 
66	1	0	 	 
66	2	1	2	2
66	3	1	1	1
66	4	0	 	 
66	5	1	2	2
66	6	0	 	 
66	7	1	1	1
66	8	0	 	 
66	9	0	 	 
66	10	0	 	 
66	11	1	2	1
66	12	0	 	 
66	13	1	2	1
66	14	0	 	 
67	1	0	 	 
67	2	1	2	2
67	3	1	2	2
67	4	0	 	 
67	5	0	 	 
67	6	0	 	 
67	7	0	 	 
67	8	0	 	 
67	9	0	 	 
67	10	0	 	 
67	11	0	 	 
67	12	0	 	 
67	13	1	2	1
67	14	0	 	 
68	1	0	 	 
68	2	1	2	3
68	3	1	2	3
68	4	1	2	3
68	5	1	2	3
68	6	1	2	3
68	7	1	2	3
68	8	0	 	 
68	9	0	 	 
68	10	0	 	 
68	11	1	2	1
68	12	0	 	 
68	13	1	2	2
68	14	0	 	 
69	1	0	 	 
69	2	1	2	2
69	3	1	2	3
69	4	0	 	 
69	5	1	2	3
69	6	0	 	 
69	7	1	2	3
69	8	0	 	 
69	9	0	 	 
69	10	0	 	 
69	11	1	2	1
69	12	0	 	 
69	13	1	1	2
69	14	0	 	 
70	1	0	 	 
70	2	1	2	2
70	3	1	2	2
70	4	1	2	2
70	5	1	2	2
70	6	1	2	2
70	7	1	2	2
70	8	0	 	 
70	9	0	 	 
70	10	0	 	 
70	11	1	1	1
70	12	0	 	 
70	13	1	2	1
70	14	0	 	 
71	1	0	 	 
71	2	0	 	 
71	3	0	 	 
71	4	1	2	2
71	5	0	 	 
71	6	1	1	2
71	7	1	1	2
71	8	0	 	 
71	9	0	 	 
71	10	0	 	 
71	11	1	2	2
71	12	0	 	 
71	13	1	2	2
71	14	0	 	 
72	1	0	 	 
72	2	0	 	 
72	3	0	 	 
72	4	0	 	 
72	5	1	1	2
72	6	0	 	 
72	7	1	1	3
72	8	0	 	 
72	9	0	 	 
72	10	0	 	 
72	11	1	2	2
72	12	0	 	 
72	13	1	1	2
72	14	0	 	 
73	1	0	 	 
73	2	0	 	 
73	3	0	 	 
73	4	0	 	 
73	5	1	1	1
73	6	0	 	 
73	7	1	2	3
73	8	0	 	 
73	9	0	 	 
73	10	0	 	 
73	11	1	2	2
73	12	0	 	 
73	13	1	1	1
73	14	0	 	 
74	1	0	 	 
74	2	0	 	 
74	3	0	 	 
74	4	1	1	2
74	5	0	 	 
74	6	0	 	 
74	7	1	1	2
74	8	0	 	 
74	9	0	 	 
74	10	0	 	 
74	11	1	2	2
74	12	0	 	 
74	13	1	1	2
74	14	0	 	 
75	1	0	 	 
75	2	0	 	 
75	3	0	 	 
75	4	0	 	 
75	5	1	2	2
75	6	0	 	 
75	7	1	1	2
75	8	0	 	 
75	9	0	 	 
75	10	0	 	 
75	11	1	2	3
75	12	0	 	 
75	13	1	2	2
75	14	0	 	 
76	1	0	 	 
76	2	1	2	2
76	3	1	2	2
76	4	1	2	2
76	5	1	2	2
76	6	1	2	2
76	7	1	2	2
76	8	0	 	 
76	9	0	 	 
76	10	0	 	 
76	11	1	2	2
76	12	0	 	 
76	13	1	2	2
76	14	0	 	 
77	1	0	 	 
77	2	0	 	 
77	3	0	 	 
77	4	1	2	2
77	5	1	2	2
77	6	0	 	 
77	7	1	2	2
77	8	0	 	 
77	9	0	 	 
77	10	0	 	 
77	11	1	2	2
77	12	0	 	 
77	13	1	1	2
77	14	0	 	 
78	1	0	 	 
78	2	1	2	3
78	3	0	 	 
78	4	1	2	2
78	5	1	2	2
78	6	0	 	 
78	7	0	 	 
78	8	0	 	 
78	9	0	 	 
78	10	0	 	 
78	11	1	2	2
78	12	0	 	 
78	13	1	1	2
78	14	0	 	 
79	1	0	 	 
79	2	1	2	3
79	3	1	2	3
79	4	1	2	2
79	5	1	1	1
79	6	1	2	3
79	7	0	 	 
79	8	0	 	 
79	9	0	 	 
79	10	0	 	 
79	11	1	1	1
79	12	0	 	 
79	13	1	2	2
79	14	0	 	 
80	1	0	 	 
80	2	0	 	 
80	3	0	 	 
80	4	1	2	2
80	5	1	2	2
80	6	0	 	 
80	7	1	1	2
80	8	1	2	2
80	9	0	 	 
80	10	0	 	 
80	11	1	1	2
80	12	0	 	 
80	13	1	1	2
80	14	0	 	 
81	1	0	 	 
81	2	0	 	 
81	3	0	 	 
81	4	0	 	 
81	5	1	2	2
81	6	0	 	 
81	7	1	2	2
81	8	0	 	 
81	9	0	 	 
81	10	0	 	 
81	11	1	2	2
81	12	0	 	 
81	13	1	2	2
81	14	0	 	 
82	1	0	 	 
82	2	0	 	 
82	3	0	 	 
82	4	0	 	 
82	5	1	2	2
82	6	0	 	 
82	7	1	1	2
82	8	0	 	 
82	9	0	 	 
82	10	0	 	 
82	11	1	2	2
82	12	0	 	 
82	13	1	2	2
82	14	0	 	 
83	1	0	 	 
83	2	0	 	 
83	3	0	 	 
83	4	0	 	 
83	5	1	1	2
83	6	0	 	 
83	7	1	1	2
83	8	0	 	 
83	9	0	 	 
83	10	0	 	 
83	11	1	1	2
83	12	0	 	 
83	13	1	1	2
83	14	0	 	 
84	1	0	 	 
84	2	0	 	 
84	3	0	 	 
84	4	0	 	 
84	5	1	2	2
84	6	0	 	 
84	7	1	1	2
84	8	0	 	 
84	9	0	 	 
84	10	0	 	 
84	11	1	2	2
84	12	0	 	 
84	13	1	2	2
84	14	0	 	 
85	1	0	 	 
85	2	0	 	 
85	3	0	 	 
85	4	0	 	 
85	5	1	2	2
85	6	0	 	 
85	7	1	2	2
85	8	0	 	 
85	9	0	 	 
85	10	0	 	 
85	11	1	2	2
85	12	0	 	 
85	13	1	2	2
85	14	0	 	 
86	1	0	 	 
86	2	0	 	 
86	3	0	 	 
86	4	0	 	 
86	5	1	2	2
86	6	0	 	 
86	7	0	 	 
86	8	0	 	 
86	9	0	 	 
86	10	1	2	2
86	11	0	 	 
86	12	1	2	2
86	13	1	2	2
86	14	0	 	 
87	1	0	 	 
87	2	0	 	 
87	3	0	 	 
87	4	0	 	 
87	5	1	2	2
87	6	0	 	 
87	7	0	 	 
87	8	0	 	 
87	9	0	 	 
87	10	1	2	2
87	11	0	 	 
87	12	0	 	 
87	13	1	2	2
87	14	0	 	 
88	1	0	 	 
88	2	0	 	 
88	3	0	 	 
88	4	0	 	 
88	5	1	2	2
88	6	0	 	 
88	7	0	 	 
88	8	0	 	 
88	9	0	 	 
88	10	1	2	2
88	11	0	 	 
88	12	1	2	2
88	13	1	2	2
88	14	0	 	 
89	1	0	 	 
89	2	0	 	 
89	3	0	 	 
89	4	0	 	 
89	5	1	2	3
89	6	0	 	 
89	7	0	 	 
89	8	0	 	 
89	9	0	 	 
89	10	0	 	 
89	11	0	 	 
89	12	0	 	 
89	13	0	 	 
89	14	0	 	 
90	1	0	 	 
90	2	1	2	4
90	3	0	 	 
90	4	0	 	 
90	5	1	2	4
90	6	0	 	 
90	7	0	 	 
90	8	0	 	 
90	9	0	 	 
90	10	0	 	 
90	11	0	 	 
90	12	0	 	 
90	13	0	 	 
90	14	1	2	3
91	1	1	1	2
91	2	1	1	1
91	3	1	1	1
91	4	1	1	1
91	5	1	1	1
91	6	1	1	1
91	7	1	1	1
91	8	1	1	1
91	9	0	 	 
91	10	1	1	1
91	11	0	 	 
91	12	1	1	1
91	13	1	1	1
91	14	0	 	 
92	1	0	 	 
92	2	0	 	 
92	3	0	 	 
92	4	1	2	2
92	5	1	2	3
92	6	0	 	 
92	7	1	1	2
92	8	1	2	2
92	9	0	 	 
92	10	1	2	2
92	11	1	1	3
92	12	1	2	1
92	13	1	2	2
92	14	0	 	 
93	1	0	 	 
93	2	0	 	 
93	3	0	 	 
93	4	1	1	2
93	5	1	2	2
93	6	0	 	 
93	7	0	 	 
93	8	0	 	 
93	9	0	 	 
93	10	1	2	2
93	11	0	 	 
93	12	0	 	 
93	13	1	1	2
93	14	0	 	 
94	1	0	 	 
94	2	1	2	3
94	3	0	 	 
94	4	1	2	3
94	5	0	 	 
94	6	1	1	3
94	7	0	 	 
94	8	0	 	 
94	9	0	 	 
94	10	1	1	2
94	11	0	 	 
94	12	1	1	2
94	13	1	1	2
94	14	0	 	 
96	1	0	 	 
96	2	0	 	 
96	3	0	 	 
96	4	1	2	2
96	5	0	 	 
96	6	1	2	2
96	7	1	2	2
96	8	0	 	 
96	9	0	 	 
96	10	1	2	2
96	11	1	2	2
96	12	0	 	 
96	13	1	2	2
96	14	0	 	 
97	1	0	 	 
97	2	0	 	 
97	3	0	 	 
97	4	0	 	 
97	5	0	 	 
97	6	1	1	3
97	7	1	1	3
97	8	1	2	3
97	9	0	 	 
97	10	1	2	3
97	11	1	1	1
97	12	1	1	2
97	13	1	2	3
97	14	0	 	 
98	1	0	 	 
98	2	1	2	2
98	3	0	 	 
98	4	1	2	3
98	5	1	2	3
98	6	0	 	 
98	7	0	 	 
98	8	0	 	 
98	9	0	 	 
98	10	0	 	 
98	11	1	2	3
98	12	0	 	 
98	13	1	2	3
98	14	0	 	 
99	1	0	 	 
99	2	1	1	2
99	3	0	 	 
99	4	1	1	2
99	5	1	2	2
99	6	0	 	 
99	7	0	 	 
99	8	0	 	 
99	9	0	 	 
99	10	0	 	 
99	11	1	2	2
99	12	0	 	 
99	13	1	1	3
99	14	0	 	 
101	1	0	 	 
101	2	0	 	 
101	3	0	 	 
101	4	0	 	 
101	5	0	 	 
101	6	0	 	 
101	7	0	 	 
101	8	0	 	 
101	9	0	 	 
101	10	1	1	2
101	11	0	 	 
101	12	1	1	2
101	13	1	1	2
101	14	0	 	 
102	1	0	 	 
102	2	0	 	 
102	3	0	 	 
102	4	0	 	 
102	5	0	 	 
102	6	0	 	 
102	7	0	 	 
102	8	0	 	 
102	9	0	 	 
102	10	1	2	3
102	11	0	 	 
102	12	1	1	2
102	13	1	2	1
102	14	0	 	 
