CHILDCODE	SHCKIDR4	EVNTR4	EV2009R4	EV2010R4	EV2011R4	EV2012R4	EV2013R4
10001	1	0	 	 	 	 	 
10001	10	0	 	 	 	 	 
10001	12	0	 	 	 	 	 
10001	13	0	 	 	 	 	 
10001	14	0	 	 	 	 	 
10001	16	0	 	 	 	 	 
10001	23	0	 	 	 	 	 
10001	24	0	 	 	 	 	 
10001	25	0	 	 	 	 	 
10001	26	0	 	 	 	 	 
10001	27	0	 	 	 	 	 
10001	28	0	 	 	 	 	 
10001	29	0	 	 	 	 	 
10001	30	0	 	 	 	 	 
10001	31	0	 	 	 	 	 
10001	32	0	 	 	 	 	 
10001	34	0	 	 	 	 	 
10001	35	0	 	 	 	 	 
10001	36	0	 	 	 	 	 
10001	37	0	 	 	 	 	 
10001	38	0	 	 	 	 	 
10001	39	0	 	 	 	 	 
10001	40	0	 	 	 	 	 
10001	41	0	 	 	 	 	 
10001	42	0	 	 	 	 	 
10001	45	0	 	 	 	 	 
10001	47	1	N	N	Y	Y	Y
10001	61	0	 	 	 	 	 
10002	1	0	 	 	 	 	 
10002	10	0	 	 	 	 	 
10002	12	0	 	 	 	 	 
10002	13	0	 	 	 	 	 
10002	14	0	 	 	 	 	 
10002	16	0	 	 	 	 	 
10002	23	0	 	 	 	 	 
10002	24	0	 	 	 	 	 
10002	25	0	 	 	 	 	 
10002	26	0	 	 	 	 	 
10002	27	0	 	 	 	 	 
10002	28	0	 	 	 	 	 
10002	29	0	 	 	 	 	 
10002	30	0	 	 	 	 	 
10002	31	0	 	 	 	 	 
10002	32	0	 	 	 	 	 
10002	34	0	 	 	 	 	 
10002	35	0	 	 	 	 	 
10002	36	0	 	 	 	 	 
10002	37	0	 	 	 	 	 
10002	38	0	 	 	 	 	 
10002	39	1	N	N	Y	Y	N
10002	40	0	 	 	 	 	 
10002	41	0	 	 	 	 	 
10002	42	0	 	 	 	 	 
10002	45	0	 	 	 	 	 
10002	47	1	N	Y	Y	Y	Y
10002	61	0	 	 	 	 	 
10004	1	0	 	 	 	 	 
10004	10	0	 	 	 	 	 
10004	12	0	 	 	 	 	 
10004	13	0	 	 	 	 	 
10004	14	0	 	 	 	 	 
10004	16	0	 	 	 	 	 
10004	23	0	 	 	 	 	 
10004	24	0	 	 	 	 	 
10004	25	0	 	 	 	 	 
10004	26	0	 	 	 	 	 
10004	27	0	 	 	 	 	 
10004	28	0	 	 	 	 	 
10004	29	0	 	 	 	 	 
10004	30	0	 	 	 	 	 
10004	31	0	 	 	 	 	 
10004	32	0	 	 	 	 	 
10004	34	0	 	 	 	 	 
10004	35	0	 	 	 	 	 
10004	36	0	 	 	 	 	 
10004	37	0	 	 	 	 	 
10004	38	0	 	 	 	 	 
10004	39	1	N	N	N	Y	Y
10004	40	0	 	 	 	 	 
10004	41	0	 	 	 	 	 
10004	42	0	 	 	 	 	 
10004	45	0	 	 	 	 	 
10004	47	1	N	N	Y	Y	N
10004	61	0	 	 	 	 	 
10005	1	0	 	 	 	 	 
10005	10	0	 	 	 	 	 
10005	12	0	 	 	 	 	 
10005	13	0	 	 	 	 	 
10005	14	0	 	 	 	 	 
10005	16	1	N	N	Y	Y	N
10005	23	0	 	 	 	 	 
10005	24	0	 	 	 	 	 
10005	25	0	 	 	 	 	 
10005	26	0	 	 	 	 	 
10005	27	0	 	 	 	 	 
10005	28	0	 	 	 	 	 
10005	29	0	 	 	 	 	 
10005	30	0	 	 	 	 	 
10005	31	0	 	 	 	 	 
10005	32	0	 	 	 	 	 
10005	34	0	 	 	 	 	 
10005	35	0	 	 	 	 	 
10005	36	0	 	 	 	 	 
10005	37	0	 	 	 	 	 
10005	38	1	N	N	Y	Y	Y
10005	39	0	 	 	 	 	 
10005	40	0	 	 	 	 	 
10005	41	0	 	 	 	 	 
10005	42	0	 	 	 	 	 
10005	45	0	 	 	 	 	 
10005	47	0	 	 	 	 	 
10005	61	0	 	 	 	 	 
10006	1	0	 	 	 	 	 
10006	10	0	 	 	 	 	 
10006	12	0	 	 	 	 	 
10006	13	0	 	 	 	 	 
10006	14	0	 	 	 	 	 
10006	16	0	 	 	 	 	 
10006	23	0	 	 	 	 	 
10006	24	0	 	 	 	 	 
10006	25	0	 	 	 	 	 
10006	26	0	 	 	 	 	 
10006	27	0	 	 	 	 	 
