PLACEID	EDINIDR5	EDFACAVL	EDFACTIM	EDFACTRN
1	1	3	 	 
1	2	3	 	 
1	3	3	 	 
1	4	3	 	 
1	5	3	 	 
1	6	3	 	 
1	7	88	 	 
2	1	2	20	4
2	2	3	 	 
2	3	2	30	4
2	4	3	 	 
2	5	2	30	4
2	6	2	15	4
2	7	88	 	 
3	1	3	 	 
3	2	3	 	 
3	3	3	 	 
3	4	3	 	 
3	5	3	 	 
3	6	1	 	 
3	7	3	 	 
4	1	3	 	 
4	2	3	 	 
4	3	3	 	 
4	4	3	 	 
4	5	3	 	 
4	6	3	 	 
4	7	3	 	 
5	1	3	 	 
5	2	3	 	 
5	3	3	 	 
5	4	3	 	 
5	5	3	 	 
5	6	2	20	4
5	7	3	 	 
6	1	3	 	 
6	2	3	 	 
6	3	3	 	 
6	4	3	 	 
6	5	3	 	 
6	6	3	 	 
6	7	3	 	 
7	1	3	 	 
7	2	3	 	 
7	3	3	 	 
7	4	3	 	 
7	5	3	 	 
7	6	2	7	4
7	7	3	 	 
8	1	1	 	 
8	2	3	 	 
8	3	3	 	 
8	4	3	 	 
8	5	3	 	 
8	6	1	 	 
8	7	3	 	 
9	1	3	 	 
9	2	3	 	 
9	3	3	 	 
9	4	3	 	 
9	5	3	 	 
9	6	3	 	 
9	7	3	 	 
10	1	3	 	 
10	2	3	 	 
10	3	3	 	 
10	4	3	 	 
10	5	3	 	 
10	6	2	20	4
10	7	3	 	 
11	1	3	 	 
11	2	3	 	 
11	3	3	 	 
11	4	3	 	 
11	5	3	 	 
11	6	3	 	 
11	7	3	 	 
12	1	3	 	 
12	2	3	 	 
12	3	3	 	 
12	4	3	 	 
12	5	3	 	 
12	6	3	 	 
12	7	3	 	 
13	1	3	 	 
13	2	3	 	 
13	3	3	 	 
13	4	3	 	 
13	5	3	 	 
13	6	3	 	 
13	7	88	 	 
14	1	3	 	 
14	2	3	 	 
14	3	3	 	 
14	4	3	 	 
14	5	3	 	 
14	6	2	5	4
14	7	3	 	 
15	1	3	 	 
15	2	3	 	 
15	3	3	 	 
15	4	3	 	 
15	5	3	 	 
15	6	3	 	 
15	7	3	 	 
16	1	3	 	 
16	2	3	 	 
16	3	3	 	 
16	4	3	 	 
16	5	3	 	 
16	6	3	 	 
16	7	3	 	 
17	1	3	 	 
17	2	3	 	 
17	3	3	 	 
17	4	3	 	 
17	5	3	 	 
17	6	1	 	 
17	7	88	 	 
18	1	3	 	 
18	2	3	 	 
18	3	3	 	 
18	4	3	 	 
18	5	3	 	 
18	6	3	 	 
18	7	3	 	 
19	1	3	 	 
19	2	3	 	 
19	3	3	 	 
19	4	3	 	 
19	5	3	 	 
19	6	3	 	 
19	7	3	 	 
20	1	1	 	 
20	2	3	 	 
20	3	3	 	 
20	4	3	 	 
20	5	3	 	 
20	6	1	 	 
20	7	3	 	 
21	1	3	 	 
21	2	3	 	 
21	3	3	 	 
21	4	3	 	 
21	5	3	 	 
21	6	3	 	 
21	7	3	 	 
22	1	3	 	 
22	2	3	 	 
22	3	2	25	4
22	4	3	 	 
22	5	1	 	 
22	6	3	 	 
22	7	3	 	 
23	1	3	 	 
23	2	3	 	 
23	3	3	 	 
23	4	3	 	 
23	5	3	 	 
23	6	3	 	 
23	7	3	 	 
24	1	3	 	 
24	2	3	 	 
24	3	3	 	 
24	4	3	 	 
24	5	3	 	 
24	6	3	 	 
24	7	77	 	 
25	1	3	 	 
25	2	3	 	 
25	3	3	 	 
25	4	3	 	 
25	5	3	 	 
25	6	3	 	 
25	7	77	 	 
26	1	3	 	 
26	2	3	 	 
26	3	3	 	 
26	4	3	 	 
26	5	3	 	 
26	6	3	 	 
26	7	88	 	 
27	1	88	 	 
27	2	88	 	 
27	3	88	 	 
27	4	88	 	 
27	5	88	 	 
27	6	88	 	 
27	7	88	 	 
28	1	3	 	 
28	2	3	 	 
28	3	3	 	 
28	4	3	 	 
28	5	3	 	 
28	6	3	 	 
28	7	3	 	 
29	1	3	 	 
29	2	3	 	 
29	3	3	 	 
29	4	1	 	 
29	5	1	 	 
29	6	3	 	 
29	7	3	 	 
32	1	3	 	 
32	2	3	 	 
32	3	2	5	4
32	4	2	5	4
32	5	2	5	4
32	6	1	 	 
32	7	88	 	 
33	1	3	 	 
33	2	1	 	 
33	3	2	10	4
33	4	3	 	 
33	5	2	10	4
33	6	3	 	 
33	7	88	 	 
34	1	3	 	 
34	2	3	 	 
34	3	1	 	 
34	4	3	 	 
34	5	1	 	 
34	6	1	 	 
34	7	88	 	 
35	1	1	 	 
35	2	3	 	 
35	3	2	10	4
35	4	3	 	 
35	5	1	 	 
35	6	3	 	 
35	7	3	 	 
36	1	1	 	 
36	2	3	 	 
36	3	1	 	 
36	4	3	 	 
36	5	2	12	4
36	6	3	 	 
36	7	3	 	 
